epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,116.389,0.67202,0.58722,1.19409,0.82167,0.85329,0.88909,0.63891,1.00278,0.84289,1.81179,0.000614,0.000614,0.000614
44,118.357,0.57621,0.52299,1.12062,0.92051,0.85802,0.90737,0.62401,0.94133,0.80423,1.65644,0.000581,0.000581,0.000581
45,120.99,0.5887,0.47692,1.14438,0.86994,0.81481,0.90179,0.64533,0.87233,0.78528,1.50952,0.000548,0.000548,0.000548
46,123.635,0.57264,0.53294,1.13583,0.86648,0.92593,0.93269,0.63577,0.8442,0.83185,1.45041,0.000515,0.000515,0.000515
47,125.479,0.586,0.519,1.15102,0.7785,0.91147,0.90923,0.65997,0.78184,0.89397,1.32712,0.000482,0.000482,0.000482
48,127.416,0.51393,0.43485,1.09538,0.8446,0.88889,0.90032,0.68199,0.78666,0.81261,1.3218,0.000449,0.000449,0.000449
49,129.337,0.52838,0.47766,1.05889,0.94838,0.92593,0.94738,0.71438,0.75815,0.71989,1.30075,0.000416,0.000416,0.000416
50,131.283,0.47879,0.4078,1.11635,0.89623,0.95969,0.95839,0.76329,0.72171,0.58912,1.27275,0.000383,0.000383,0.000383
51,136.972,0.44358,0.66045,1.07378,1,0.92271,0.96276,0.78897,0.64759,0.46284,1.1951,0.00035,0.00035,0.00035
52,139.708,0.42728,0.54605,1.08346,0.96289,0.96094,0.96251,0.83256,0.58164,0.41485,1.14522,0.000317,0.000317,0.000317
53,141.561,0.42217,0.39342,1.04241,0.95422,0.88889,0.95591,0.83026,0.55652,0.44481,1.13848,0.000284,0.000284,0.000284
54,143.448,0.35053,0.38181,1.03426,0.95578,0.92593,0.95184,0.82509,0.5692,0.44978,1.15603,0.000251,0.000251,0.000251
55,146.764,0.35684,0.36045,1.06481,1,0.9123,0.95262,0.81169,0.5835,0.43037,1.1913,0.000218,0.000218,0.000218
56,148.71,0.35041,0.35302,1.02262,0.99593,0.92593,0.95001,0.80476,0.58822,0.41472,1.20027,0.000185,0.000185,0.000185
57,151.528,0.34087,0.30639,0.996,0.99843,0.96296,0.96524,0.80565,0.6,0.405,1.21293,0.000152,0.000152,0.000152
58,153.779,0.33288,0.30039,0.9978,0.99577,0.92593,0.95582,0.80325,0.61021,0.40705,1.2256,0.000119,0.000119,0.000119
59,155.592,0.33812,0.30677,1.03066,0.99547,0.92593,0.95414,0.81416,0.61897,0.41292,1.24023,8.6e-05,8.6e-05,8.6e-05
60,157.482,0.30738,0.29764,1.0241,0.95913,0.96296,0.96377,0.80423,0.619,0.41991,1.24077,5.3e-05,5.3e-05,5.3e-05
